,:@computed_region_6ryf_isx3,:@computed_region_d7bw_bq6x,:@computed_region_kbsp_ykn9,:@computed_region_rbt8_3x7n,:@computed_region_tx5f_5em3,address_number,agency,beat,case_number,city,date,district,end_date,geolocation,incident_id,incident_type,latitude,location,longitude,narrative,place,police_district_number,pra,sector,start_date,state,zip_code
10,,,,,,,MCPD,3H2,13032069,SILVER SPRING,2013-07-09 22:31:41,SILVER SPRING,,,200927122,1833,,COLUMBIA  PIK,,CDS-POSS COCAINE& DERIVATIVES,Street - Commercial,3D,152.0,H,2013-07-09T22:31:00.000,MD,20901.0
11,1.0,68.0,61.0,1.0,3.0,13200.0,MCPD,1A2,16044215,ROCKVILLE,2016-08-30 12:29:35,ROCKVILLE,,"{'type': 'Point', 'coordinates': [-77.113386, 39.071769]}",201096016,0619,39.071768551793284,13200  TWINBROOK PKWY,-77.11338591228755,LARCENY OTHER OVER $200,Park,1D,301.0,A,2016-08-29T12:29:00.000,MD,
12,1.0,35.0,36.0,21.0,3.0,1.0,GPD,6P3,16044661,GAITHERSBURG,2016-09-01 13:00:20,MONTGOMERY VILLAGE,2016-09-01T13:00:00.000,"{'type': 'Point', 'coordinates': [-77.18878, 39.143289]}",201096684,2938,39.143289467496025,1   TEACHERS WAY,-77.18878015292195,POL INFORMATION,School/College,6D,419.0,P,2016-09-01T12:45:00.000,MD,20877.0
13,,,,,,,GPD,6P3,13032221,GAITHERSBURG,2013-07-10 19:41:08,MONTGOMERY VILLAGE,,,200927740,2216,,E DIAMOND  AVE,,LIQUOR - DRINK IN PUB OVER 21,Street - Other,6D,427.0,P,2013-07-10T19:52:00.000,MD,20877.0
14,,,,,,,GPD,6P3,13033012,GAITHERSBURG,2013-07-15 16:55:33,MONTGOMERY VILLAGE,,,200927749,2216,,E DIAMOND  AVE,,LIQUOR - DRINK IN PUB OVER 21,Street - Other,6D,427.0,P,2013-07-15T17:24:00.000,MD,20877.0
15,1.0,39.0,39.0,1.0,2.0,12600.0,MCPD,5N1,16045530,GERMANTOWN,2016-09-06 11:52:26,GERMANTOWN,,"{'type': 'Point', 'coordinates': [-77.261222, 39.169503]}",201097064,1011,39.16950301316703,12600  WISTERIA DR,-77.26122150877812,FORGERY/CNTRFT-CRDT CARDS,Restaurant,5D,447.0,N,2016-09-06T11:52:00.000,MD,20874.0
16,,,,,,,MCPD,1A1,13033459,SILVER SPRING,2013-07-18 00:17:58,ROCKVILLE,2013-07-18T01:45:00.000,,200928214,2812,,N270 CUTOVR X4 TO X5  HWY,,DRIVING UNDER THE INFLUENCE,Street - In vehicle,1D,240.0,A,2013-07-18T00:17:00.000,MD,20852.0
17,,,,,,,MCPD,4K2,13035669,SILVER SPRING,2013-07-30 22:45:39,WHEATON,,,200930063,2812,,RANDOLPH  RD,,DRIVING UNDER THE INFLUENCE,Street - Residential,4D,334.0,K,2013-07-30T22:45:00.000,MD,20902.0
18,1.0,15.0,8.0,1.0,5.0,1000.0,MCPD,3H1,16035429,SILVER SPRING,2016-07-13 10:34:03,SILVER SPRING,2016-07-13T23:59:00.000,"{'type': 'Point', 'coordinates': [-76.990466, 38.996996]}",201097198,1823,38.996995807034146,1000  RUATAN ST,-76.99046561037898,CDS-SELL-COCAINE& DERIVATIVES,Residence - Apartment/Condo,3D,132.0,H,2016-07-03T00:01:00.000,MD,20903.0
19,,,,,,3100.0,MCPD,,13034117,KISSIMMEE,2013-07-22 07:06:51,OTHER,2013-07-20T11:15:00.000,,200928717,0624,,3100  SUNLAKE TER,,LARCENY FROM AUTO $50 - $199,Parking Lot - Residential,OTHER,,,2013-07-20T10:15:00.000,FL,
20,,,,,,,MCPD,3I2,13034513,SILVER SPRING,2013-07-23 20:29:39,SILVER SPRING,2013-07-23T20:29:00.000,,200928846,0341,,BALLINGER  DR,,ROB STNG ARM - STREET,Street - Other,3D,380.0,I,2013-07-23T19:05:00.000,MD,20904.0
21,1.0,15.0,8.0,1.0,5.0,1000.0,MCPD,3H1,16039669,SILVER SPRING,2016-08-05 15:55:29,SILVER SPRING,2016-08-10T23:59:00.000,"{'type': 'Point', 'coordinates': [-76.990466, 38.996996]}",201097202,1823,38.996995807034146,1000  RUATAN ST,-76.99046561037898,CDS-SELL-COCAINE& DERIVATIVES,Residence - Apartment/Condo,3D,132.0,H,2016-07-31T00:01:00.000,MD,20903.0
22,,,,,,,MCPD,4L2,13034456,SILVER SPRING,2013-07-23 17:05:30,WHEATON,,,200929065,2413,,TRIANGLE  LA,,DISORDERLY CONDUCT,Street - Alley,4D,324.0,L,2013-07-23T17:05:00.000,MD,20902.0
23,,,,,,,MCPD,2D3,13036876,SILVER SPRING,2013-08-06 17:16:17,BETHESDA,,,200930689,2812,,BEACH  DR,,DRIVING UNDER THE INFLUENCE,Street - Residential,2D,178.0,D,2013-08-06T17:16:00.000,MD,20815.0
24,,,,,,,MCPD,2D1,13035288,CHEVY CHASE,2013-07-28 21:13:15,BETHESDA,,,200929538,2752,,BEACH  DR,,FUGITIVE FROM JUSTICE(OUT OF STATE),Street - In vehicle,2D,11.0,D,2013-07-28T21:13:00.000,MD,20815.0
25,,,,,,,MCPD,5N1,13035016,GERMANTOWN,2013-07-26 20:10:10,GERMANTOWN,,,200929687,1834,,BOWMAN MILL  DR,,CDS-POSS MARIJUANA/HASHISH,Street - In vehicle,5D,702.0,N,2013-07-26T20:10:00.000,MD,20874.0
26,,,,,,,MCPD,5M1,13035781,GERMANTOWN,2013-07-31 15:14:05,GERMANTOWN,2013-07-31T15:25:00.000,,200929906,2942,,GUNNERS BRANCH  RD,,MENTAL TRANSPORT,Street - Commercial,5D,470.0,M,2013-07-31T15:11:00.000,MD,20876.0
27,,,,,,,MCPD,5M1,13036185,GERMANTOWN,2013-08-02 15:05:19,GERMANTOWN,2013-07-23T20:00:00.000,,200930173,0635,,SCENERY  DR,,LARCENY AUTO PART UNDER $50,Street - Residential,5D,471.0,M,2013-07-20T00:01:00.000,MD,20876.0
28,,,,,,,MCPD,3H2,13036339,SILVER SPRING,2013-08-03 12:00:56,SILVER SPRING,2013-08-03T11:30:00.000,,200930272,1412,,LOCKWOOD  DR,,VANDALISM-MOTOR VEHICLE,Street - Residential,3D,144.0,H,2013-08-02T22:00:00.000,MD,20904.0
29,,,,,,,MCPD,5M1,13036272,GERMANTOWN,2013-08-02 23:49:17,GERMANTOWN,2013-08-03T00:30:00.000,,200930300,1831,,GUNNERS BRANCH  RD,,CDS-POSS- OPIUM & DERIVATIVES,Street - Residential,5D,470.0,M,2013-08-02T23:49:00.000,MD,20876.0
30,,,,,,,MCPD,5M3,13036745,GERMANTOWN,2013-08-06 03:44:51,GERMANTOWN,,,200930589,2812,,OBSERVATION  DR,,DRIVING UNDER THE INFLUENCE,Street - Residential,5D,474.0,M,2013-08-06T03:44:00.000,MD,20876.0
31,1.0,44.0,50.0,1.0,2.0,22600.0,MCFM,5M3,16045366,CLARKSBURG,2016-09-05 09:19:26,GERMANTOWN,,"{'type': 'Point', 'coordinates': [-77.253453, 39.226775]}",201098093,0911,39.22677549399389,22600  MAJESTIC ELM CT,-77.25345343471241,ARSON- OCCUPIED STRUCTURE,Residence -Townhouse/Duplex,5D,476.0,M,2016-09-05T09:19:00.000,MD,
32,1.0,60.0,25.0,12.0,1.0,12300.0,MCPD,1A1,16045564,ROCKVILLE,2016-09-06 15:27:18,ROCKVILLE,,"{'type': 'Point', 'coordinates': [-77.12129, 39.058822]}",201098170,2938,39.05882184958225,12300  TWINBROOK PKWY,-77.12128954371555,POL INFORMATION,Convenience Store,1D,272.0,A,2016-09-06T15:27:00.000,MD,
33,,,,,,,MCPD,2E1,13037277,CHEVY CHASE,2013-08-08 20:28:12,BETHESDA,2013-08-08T20:15:00.000,,200931068,0614,,SOMERSET  TER,,LARCENY FROM AUTO OVER $200,Street - Other,2D,17.0,E,2013-08-08T20:00:00.000,MD,20815.0
34,,,,,,,MCPD,5M3,13037300,CLARKSBURG,2013-08-08 23:42:36,GERMANTOWN,,,200931092,1834,,IRISH MOSS  LA,,CDS-POSS MARIJUANA/HASHISH,Street - In vehicle,5D,476.0,M,2013-08-08T23:42:00.000,MD,20871.0
35,,,,,,,MCPD,4J1,13037530,SPENCERVILLE,2013-08-10 05:51:43,WHEATON,2013-08-10T06:30:00.000,,200931273,2812,,SPENCERVILLE  RD,,DRIVING UNDER THE INFLUENCE,Street - Commercial,4D,680.0,J,2013-08-10T05:51:00.000,MD,20905.0
36,1.0,39.0,39.0,1.0,2.0,19900.0,MCPD,5N1,16046841,GERMANTOWN,2016-09-12 14:00:44,GERMANTOWN,2016-09-07T15:00:00.000,"{'type': 'Point', 'coordinates': [-77.276061, 39.183124]}",201098229,2941,39.18312379668331,19900  SWEETGUM CIR,-77.27606058343088,LOST PROPERTY,Other/Unknown,5D,465.0,N,2016-09-05T17:00:00.000,MD,20874.0
37,,,,,,,MCPD,1B1,13037785,ROCKVILLE,2013-08-12 06:48:04,ROCKVILLE,2013-08-05T23:00:00.000,,200931498,2941,,SHADY GROVE  RD,,LOST PROPERTY,Other/Unknown,1D,237.0,B,2013-08-05T22:30:00.000,MD,20850.0
38,,,,,,,MCPD,6P2,13037600,ROCKVILLE,2013-08-10 19:52:08,MONTGOMERY VILLAGE,,,200931987,1833,,SAM EIG  HWY,,CDS-POSS COCAINE& DERIVATIVES,Street - In vehicle,6D,660.0,P,2013-08-10T19:52:00.000,MD,20877.0
39,,,,,,,MCPD,6P2,13038554,ROCKVILLE,2013-08-16 10:09:39,MONTGOMERY VILLAGE,2013-08-15T06:00:00.000,,200932159,0617,,SAM EIG  HWY,,LARCENY FROM BUILDING OVER $200,Other/Unknown,6D,660.0,P,2013-08-14T14:00:00.000,MD,20878.0
40,1.0,3065.0,7.0,1.0,5.0,8700.0,MCPD,3G1,16046399,SILVER SPRING,2016-09-10 12:07:40,SILVER SPRING,,"{'type': 'Point', 'coordinates': [-77.03183, 38.997427]}",201099040,0634,38.99742682589799,8700  1ST AVE,-77.0318301548735,LARCENY FROM AUTO UNDER $50,Residence - Apartment/Condo,3D,95.0,G,2016-09-10T00:00:00.000,MD,20910.0
41,,,,,,,RCPD,1B1,13039062,ROCKVILLE,2013-08-19 13:13:00,ROCKVILLE,2013-08-19T13:50:00.000,,200932601,2812,,W MONTGOMERY  AVE,,DRIVING UNDER THE INFLUENCE,Street - In vehicle,1D,241.0,B,2013-08-19T13:13:00.000,MD,20850.0
42,,,,,,,MCPD,3I2,13039147,SILVER SPRING,2013-08-19 21:36:17,SILVER SPRING,,,200932624,2812,,TEAGARDEN  CIR,,DRIVING UNDER THE INFLUENCE,Street - In vehicle,3D,380.0,I,2013-08-19T21:36:00.000,MD,20904.0
43,,,,,,,MCPD,3H1,13039145,SILVER SPRING,2013-08-19 22:04:24,SILVER SPRING,,,200932679,1834,,UNIVERSITY E BLV,,CDS-POSS MARIJUANA/HASHISH,Street - Commercial,3D,133.0,H,2013-08-19T22:04:00.000,MD,
44,1.0,31.0,36.0,1.0,4.0,18900.0,MCPD,6R3,16048325,GAITHERSBURG,2016-09-20 13:58:46,MONTGOMERY VILLAGE,2016-06-16T00:00:00.000,"{'type': 'Point', 'coordinates': [-77.167292, 39.166483]}",201099269,0614,39.166482802757336,18900  PREMIERE CT,-77.16729150927814,LARCENY FROM AUTO OVER $200,Parking Garage - Other,6D,421.0,R,2016-04-30T13:58:00.000,MD,20879.0
45,1.0,3062.0,4.0,11.0,5.0,8300.0,TPPD,8T2,16048639,TAKOMA PARK,2016-09-21 21:44:00,TAKOMA PARK,2016-09-21T21:45:00.000,"{'type': 'Point', 'coordinates': [-77.002217, 38.992609]}",201099505,0911,38.99260850450416,8300  FLOWER AVE,-77.00221708773346,ARSON- OCCUPIED STRUCTURE,Residence - Apartment/Condo,TPPD,803.0,T,2016-09-21T21:45:00.000,MD,20912.0
46,,,,,,,GPD,6P3,13038947,GAITHERSBURG,2013-08-19 00:01:17,MONTGOMERY VILLAGE,,,200933083,2812,,OLDE TOWNE  AVE,,DRIVING UNDER THE INFLUENCE,Street - Commercial,6D,431.0,P,2013-08-19T00:01:00.000,MD,20877.0
47,1.0,47.0,53.0,1.0,5.0,1.0,MCPD,3I2,16048681,BURTONSVILLE,2016-09-22 08:14:04,SILVER SPRING,,"{'type': 'Point', 'coordinates': [-76.953114, 39.098071]}",201099551,2938,39.098071238482575,1   CABIN CREEK CT,-76.95311387519482,POL INFORMATION,Residence - Yard,3D,384.0,I,2016-06-14T12:00:00.000,MD,20866.0
48,,,,,,,MCPD,4L1,13039573,SILVER SPRING,2013-08-22 09:10:15,WHEATON,2013-08-22T10:00:00.000,,200932968,1834,,BRIGHTVIEW  ST,,CDS-POSS MARIJUANA/HASHISH,Street - In vehicle,4D,331.0,L,2013-08-22T09:10:00.000,MD,20902.0
49,1.0,58.0,61.0,1.0,3.0,13500.0,MCPD,4K2,16048718,ROCKVILLE,2016-09-22 11:24:55,WHEATON,,"{'type': 'Point', 'coordinates': [-77.101156, 39.078796]}",201099573,1014,39.07879567789902,13500  CRISPIN WAY,-77.1011557917376,FORGERY/CNTRFT-ALL OTHER,Other/Unknown,4D,340.0,K,2016-09-18T11:24:00.000,MD,
50,1.0,3065.0,7.0,1.0,5.0,8300.0,MCPD,3G1,16048595,SILVER SPRING,2016-09-21 17:56:35,SILVER SPRING,2016-09-20T21:05:00.000,"{'type': 'Point', 'coordinates': [-77.026654, 38.992987]}",201099623,1834,38.992986685969875,8300  GEORGIA AVE,-77.02665356478954,CDS-POSS MARIJUANA/HASHISH,Parking Lot - Commercial,3D,670.0,G,2016-09-20T21:00:00.000,MD,20910.0
51,1.0,31.0,36.0,21.0,3.0,1000.0,MCPD,6R2,16048767,GAITHERSBURG,2016-09-22 15:32:56,MONTGOMERY VILLAGE,2016-09-22T16:30:00.000,"{'type': 'Point', 'coordinates': [-77.215752, 39.160795]}",201099767,1831,39.16079527016858,1000  TRAVIS LN,-77.21575243812458,CDS-POSS- OPIUM & DERIVATIVES,Street - In vehicle,6D,545.0,R,2016-09-22T15:32:00.000,MD,20879.0
52,,,,,,,MCPD,6R2,13040573,GAITHERSBURG,2013-08-28 00:39:45,MONTGOMERY VILLAGE,,,200934036,1834,,TRAVIS  AVE,,CDS-POSS MARIJUANA/HASHISH,Parking Lot - Commercial,6D,545.0,R,2013-08-28T00:39:00.000,MD,20878.0
53,,,,,,,MCPD,6P2,13040774,GAITHERSBURG,2013-08-29 00:51:15,MONTGOMERY VILLAGE,,,200934087,1841,,MONTGOMERY VILLAGE  AVE,,CDS-USE OPIUM & DERIVATIVE,Street - Alley,6D,425.0,P,2013-08-29T00:51:00.000,MD,20886.0
54,,,,,,,GPD,6P2,13040945,GAITHERSBURG,2013-08-30 00:13:46,MONTGOMERY VILLAGE,,,200934329,2812,,QUINCE ORCHARD  RD,,DRIVING UNDER THE INFLUENCE,Street - In vehicle,6D,425.0,P,2013-08-30T00:13:00.000,MD,20877.0
55,,,,,,,MCPD,1A1,13040954,ROCKVILLE,2013-08-30 01:06:33,ROCKVILLE,,,200934368,2812,,WOOTTON  PKW,,DRIVING UNDER THE INFLUENCE,Street - In vehicle,1D,263.0,A,2013-08-30T01:06:00.000,MD,20852.0
56,,,,,,,MCPD,3H1,13041447,TAKOMA PARK,2013-09-01 23:48:29,SILVER SPRING,,,200934573,1834,,PINEY BRANCH  RD,,CDS-POSS MARIJUANA/HASHISH,Street - Commercial,3D,131.0,H,2013-09-01T23:48:00.000,MD,20903.0
57,,,,,,,MCPD,1A1,13043615,ROCKVILLE,2013-09-13 23:20:37,ROCKVILLE,2013-09-14T00:47:00.000,,200936363,2812,,WOOTTON  PKW,,DRIVING UNDER THE INFLUENCE,Street - Commercial,1D,260.0,A,2013-09-13T11:40:00.000,MD,20854.0
58,,,,,,,GPD,6P3,13043420,WASHINGTON GROVE,2013-09-12 21:59:04,MONTGOMERY VILLAGE,,,200936857,2812,,FEDERAL  WAY,,DRIVING UNDER THE INFLUENCE,Street - In vehicle,6D,419.0,P,2013-09-12T21:59:00.000,MD,20877.0
59,,,,,,,MCPD,3G2,13042640,SILVER SPRING,2013-09-08 23:54:16,SILVER SPRING,,,200935649,2812,,FLOWER  AVE,,DRIVING UNDER THE INFLUENCE,Street - Commercial,3D,124.0,G,2013-09-08T23:54:00.000,MD,20901.0
60,,,,,,,MCPD,6P1,13044431,ROCKVILLE,2013-09-19 01:49:12,MONTGOMERY VILLAGE,,,200937037,2812,,SAM EIG  HWY,,DRIVING UNDER THE INFLUENCE,Street - In vehicle,6D,441.0,P,2013-09-19T01:49:00.000,MD,20878.0
61,,,,,,,MCPD,1A2,13042855,SILVER SPRING,2013-09-10 00:26:41,ROCKVILLE,2013-09-10T00:26:00.000,,200935760,1834,,PARKLAWN  DR,,CDS-POSS MARIJUANA/HASHISH,Street - In vehicle,1D,306.0,A,2013-09-10T00:15:00.000,MD,20852.0
62,,,,,,9400.0,MCPD,,13042709,LAUREL,2013-09-09 10:35:04,OTHER,2013-09-06T08:00:00.000,,200937104,1824,,9400  CANTERBURY RIDING RD,,CDS-SELL-MARIJUANA/HASHISH,Residence -Townhouse/Duplex,OTHER,0.0,,2013-09-06T08:00:00.000,MD,20723.0
63,1.0,21.0,18.0,1.0,5.0,11200.0,MCPD,3I1,16049045,SILVER SPRING,2016-09-23 21:01:05,SILVER SPRING,2016-09-21T00:00:00.000,"{'type': 'Point', 'coordinates': [-76.99249, 39.038786]}",201099836,2938,39.038785756849684,11200  LOCKWOOD DR,-76.99248995423169,POL INFORMATION,Street - Residential,3D,518.0,I,2016-09-21T00:00:00.000,MD,20901.0
64,,,,,,,GPD,6P1,13045234,ROCKVILLE,2013-09-23 11:30:11,MONTGOMERY VILLAGE,2013-09-23T11:30:00.000,,200937504,0516,,SAM EIG  HWY,,BURG FORCE-COMM/TIME UNK,Construction Site,6D,441.0,P,2013-09-20T17:30:00.000,MD,20878.0
65,,,,,,,GPD,6P3,13043590,WASHINGTON GROVE,2013-09-13 19:48:42,MONTGOMERY VILLAGE,,,200936346,2812,,FALLBROOK  ST,,DRIVING UNDER THE INFLUENCE,Street - In vehicle,6D,419.0,P,2013-09-13T19:48:00.000,MD,20877.0
66,,,,,,,MCPD,2D4,13042117,ROCKVILLE,2013-09-05 15:15:32,BETHESDA,2013-09-05T15:15:00.000,,200936354,2947,,KING CHARLES  WAY,,RECOVERED PROPERTY/OTHER,Street - Other,2D,190.0,D,2013-09-05T15:15:00.000,MD,20814.0
67,1.0,51.0,36.0,1.0,3.0,16300.0,MCPD,6P3,16048873,GAITHERSBURG,2016-09-23 02:18:00,MONTGOMERY VILLAGE,,"{'type': 'Point', 'coordinates': [-77.17766, 39.122561]}",201099986,2812,39.1225610637782,16300  FREDERICK RD,-77.1776598190028,DRIVING UNDER THE INFLUENCE,Street - In vehicle,6D,437.0,P,2016-09-23T02:15:00.000,MD,
68,,,,,,,MCPD,4J1,13043707,SILVER SPRING,2013-09-14 20:05:03,WHEATON,2013-09-14T20:30:00.000,,200936483,2812,,GOOD HOPE  RD,,DRIVING UNDER THE INFLUENCE,Street - In vehicle,4D,387.0,J,2013-09-14T20:04:00.000,MD,20905.0
69,,,,,,,MCPD,6P3,13043769,WASHINGTON GROVE,2013-09-15 06:56:49,MONTGOMERY VILLAGE,,,200936488,2791,,WOODFIELD  RD,,ALL OTHER NON-TRAFFIC CRIM OFFENSES,Street - In vehicle,6D,419.0,P,2013-09-15T06:40:00.000,MD,20877.0
70,1.0,71.0,25.0,12.0,3.0,800.0,MCPD,1A1,16049256,ROCKVILLE,2016-09-25 01:52:15,ROCKVILLE,2016-09-25T00:00:00.000,"{'type': 'Point', 'coordinates': [-77.170575, 39.085729]}",201100010,D,39.085729224931825,800 W MONTGOMERY AVE,-77.17057549071102,DWI,Street - In vehicle,1D,240.0,A,2016-09-25T01:52:00.000,MD,20850.0
71,1.0,3062.0,4.0,1.0,5.0,6400.0,TPPD,8T1,16047984,TAKOMA PARK,2016-09-18 20:16:16,TAKOMA PARK,2016-09-18T20:16:00.000,"{'type': 'Point', 'coordinates': [-77.001347, 38.967256]}",201100119,0624,38.96725552908687,6400  NEW HAMPSHIRE AVE,-77.00134730503939,LARCENY FROM AUTO $50 - $199,Gas Station,TPPD,802.0,T,2016-09-18T20:00:00.000,MD,20912.0
72,,,,,,3200.0,MCPD,,13042705,HYATTSVILLE,2013-09-09 10:25:14,OTHER,,,200937113,1812,,3200  TOLEDO PL,,CDS-MANU-HALLUC/LSD/PCP/ETC,Residence -Townhouse/Duplex,OTHER,0.0,,2013-09-06T07:00:00.000,MD,20782.0
73,,,,,,,GPD,6P2,13044784,GAITHERSBURG,2013-09-20 18:53:50,MONTGOMERY VILLAGE,,,200937224,2216,,E DIAMOND  AVE,,LIQUOR - DRINK IN PUB OVER 21,Street - Other,6D,428.0,P,2013-09-20T18:53:00.000,MD,20877.0
74,,,,,,,MCPD,1A1,13044848,ROCKVILLE,2013-09-21 00:41:07,ROCKVILLE,,,200937229,2812,,WOOTTON  PKW,,DRIVING UNDER THE INFLUENCE,Street - Commercial,1D,263.0,A,2013-09-21T00:41:00.000,MD,20854.0
75,,,,,,,MCPD,5M3,13044876,GERMANTOWN,2013-09-21 04:01:30,GERMANTOWN,2013-09-21T04:15:00.000,,200937312,1834,,OBSERVATION  DR,,CDS-POSS MARIJUANA/HASHISH,Street - Commercial,5D,474.0,M,2013-09-21T04:01:00.000,MD,20874.0
76,1.0,17.0,16.0,1.0,4.0,10900.0,MCPD,4L2,16049501,SILVER SPRING,2016-09-26 13:14:35,WHEATON,2016-05-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-77.047944, 39.034703]}",201100204,1012,39.0347030497321,10900  AMHERST AVE,-77.04794440561832,FORGERY/CNTRFT-CHECKS,Bank - ATM,4D,171.0,L,2016-03-02T13:06:00.000,MD,20902.0
77,,,,,,,MCPD,1A1,13045384,ROCKVILLE,2013-09-24 01:41:54,ROCKVILLE,,,200937625,2812,,WOOTTON  PKW,,DRIVING UNDER THE INFLUENCE,Street - In vehicle,1D,263.0,A,2013-09-24T01:41:00.000,MD,20852.0
78,,,,,,,MCPD,2D4,13044772,ROCKVILLE,2013-09-20 17:39:02,BETHESDA,2013-09-20T17:40:00.000,,200937779,0614,,EXECUTIVE  BLV,,LARCENY FROM AUTO OVER $200,Street - Residential,2D,189.0,D,2013-09-20T17:45:00.000,MD,20852.0
79,,,,,,,MCPD,6R3,13045017,MONTGOMERY VILLAGE,2013-09-22 01:29:45,MONTGOMERY VILLAGE,2013-09-22T00:00:00.000,,200937802,2413,,TYGART  LA,,DISORDERLY CONDUCT,Residence - Yard,6D,421.0,R,2013-09-22T01:29:00.000,MD,
80,,,,,,,MCPD,6P3,13045754,WASHINGTON GROVE,2013-09-25 19:35:53,MONTGOMERY VILLAGE,2013-09-25T19:50:00.000,,200937967,1834,,WILLOW CREEK  DR,,CDS-POSS MARIJUANA/HASHISH,Street - In vehicle,6D,419.0,P,2013-09-25T19:35:00.000,MD,20879.0
81,,,,,,,MCPD,4L2,13047432,SILVER SPRING,2013-10-05 03:18:54,WHEATON,,,200939340,2812,,VEIRS MILL  RD,,DRIVING UNDER THE INFLUENCE,Street - Commercial,4D,171.0,L,2013-10-05T03:18:00.000,MD,20902.0
82,,,,,,,MCPD,5M3,13046198,GERMANTOWN,2013-09-28 04:26:15,GERMANTOWN,,,200938299,1834,,OBSERVATION  DR,,CDS-POSS MARIJUANA/HASHISH,Street - In vehicle,5D,474.0,M,2013-09-28T04:26:00.000,MD,20876.0
83,1.0,6.0,23.0,1.0,4.0,12400.0,MCPD,4K2,16049462,SILVER SPRING,2016-09-26 09:21:25,WHEATON,,"{'type': 'Point', 'coordinates': [-77.069033, 39.05914]}",201100208,2946,39.0591402201618,12400  DALEWOOD DR,-77.06903329883,RECOVERED PROPERTY/MONT. CO.,School/College,4D,334.0,K,2016-09-26T09:30:00.000,MD,20906.0
